Title Produk,Deskripsi ,Brand,Tipe,Seri,Foto (min 1),Range Harga,Release Date,Link Shopee,Link Tokopedia,Link Youtube #1,Link Youtube #2,Link Youtube #3,Link Tiktok #1,Link Tiktok #2,Link Tiktok #2
Apple Iphone 13 Mini,"iPhone 13. Sistem kamera ganda paling canggih yang pernah ada di iPhone. Chip A15 Bionic yang secepat kilat. Lompatan besar dalam kekuatan baterai. Desain kokoh. Dan layar Super Retina XDR yang lebih cerah.
",Apple,Iphone,13 Mini,https://cdn.eraspace.com/media/catalog/product/i/p/iphone_13_mini_pink_1.jpg,Rp. 14.000.000 - Rp. 20.000.000,"September 24, 2021",,,https://youtu.be/X7ep0OoLpAw,https://youtu.be/nzqd0nZauFs,https://www.youtube.com/watch?v=Xhzzzr7OCW4,https://www.tiktok.com/@jagofon/video/7235850613257555206?is_from_webapp=1&sender_device=pc&web_id=7188372511679038978,https://www.tiktok.com/@ipanipan_97/video/7105765301643480347?is_from_webapp=1&sender_device=pc&web_id=7188372511679038978,https://www.tiktok.com/@ddevolyp/video/7025476063408999706?is_from_webapp=1&sender_device=pc&web_id=7188372511679038978
Samsung Galaxy Z Fold 3,Smartphone lipat dengan layar Dynamic AMOLED 2X yang luas dan fleksibel. Dilengkapi dengan S Pen. Kinerja yang sangat cepat dengan chip Snapdragon 888. Pengalaman multitasking yang lebih baik.,Samsung,Smartphone,Galaxy Z Fold 3,https://images.samsung.com/pk/smartphones/galaxy-z-fold3-5g/buy/zfold3_carousel_mainsinglekv_mo.jpg,Rp. 29.999.000 - Rp. 34.999.000,"Agustus 27, 2021",,,https://youtu.be/bZmOUK56lAU,https://youtu.be/GpoiSN-p5T8,https://youtu.be/fUfK4w0aukY,https://www.tiktok.com/@ad.review/video/7029640216495394074?is_from_webapp=1&sender_device=pc&web_id=7188372511679038978,https://www.tiktok.com/@raymhalim/video/7003290338567769371?is_from_webapp=1&sender_device=pc&web_id=7188372511679038978,https://www.tiktok.com/@raymhalim/video/7133551650089766170?is_from_webapp=1&sender_device=pc&web_id=7188372511679038978
Sony WH-1000XM4,Wireless noise-canceling headphones dengan teknologi canggih untuk kualitas suara yang superior. Fitur ANC adaptif dan pemrosesan audio berbasis AI untuk pengalaman mendengarkan yang luar biasa.,Sony,Headphones,WH-1000XM4,https://images.firstpost.com/fpimages/1200x800/fixed/jpg/2020/09/Sony-WH-1000XM4-type-c-min.jpg,Rp. 3.999.000 - Rp. 4.499.000,"Agustus 6, 2020",,,https://youtu.be/uwW-CYKl19k,https://youtu.be/qy8YFcGd_v0,https://youtu.be/qOH9IR8yswg,https://www.tiktok.com/@laurasiburian/video/7177994851714075931?is_from_webapp=1&sender_device=pc&web_id=7188372511679038978,https://www.tiktok.com/@erioarriom/video/7123779732403014938?is_from_webapp=1&sender_device=pc&web_id=7188372511679038978,https://www.tiktok.com/@gureuumi/video/7227018385073163547?is_from_webapp=1&sender_device=pc&web_id=7188372511679038978
Nintendo Switch OLED,Konsol game portabel dengan layar OLED yang lebih besar dan jelas. Dukungan docking untuk bermain di TV. Kompatibilitas dengan semua game Nintendo Switch.,Nintendo,Gaming Console,Nintendo Switch OLED,"https://assets.nintendo.com/image/upload/f_auto/q_auto/dpr_2.0/c_scale,w_500/ncom/en_US/switch/videos/heg001-07060600/posters/oled-model",Rp. 6.299.000 - Rp. 7.499.000,"Oktober 8, 2021",,,https://youtu.be/DTy2jBiwZqk,https://youtu.be/L8a3cGjTyXI,https://youtu.be/fytIYpepMI8,https://www.tiktok.com/@louisestvn/video/7064163069219425563?is_from_webapp=1&sender_device=pc&web_id=7188372511679038978,https://www.tiktok.com/@ibnuwardani/video/7169121879356165403?is_from_webapp=1&sender_device=pc&web_id=7188372511679038978,https://www.tiktok.com/@bellalovebeli/video/7035538883588771098?is_from_webapp=1&sender_device=pc&web_id=7188372511679038978
DJI Mini 2,Drone kompak dengan kemampuan perekaman video 4K. Dilengkapi dengan sistem pemindai penghambat dan teknologi kecerdasan buatan untuk penerbangan yang aman dan stabil.,DJI,Drone,Mini 2,https://cdn.mos.cms.futurecdn.net/qPDUPGiA6qqdzFEMWryRUb.jpg,Rp. 7.999.000 - Rp. 8.999.000,November 2020,,,https://youtu.be/R7nR31_Z4s0,https://youtu.be/059i8iRNfzA,https://youtu.be/3_5jAxc269M,https://www.tiktok.com/@rumahdroneid/video/7205177280061017370?is_from_webapp=1&sender_device=pc&web_id=7188372511679038978,https://www.tiktok.com/@drone.uk/video/7238316656806726938?is_from_webapp=1&sender_device=pc&web_id=7188372511679038978,https://www.tiktok.com/@rumahdroneid/video/7201059134500785434?is_from_webapp=1&sender_device=pc&web_id=7188372511679038978
Samsung Galaxy Watch 4,"Smartwatch dengan desain yang elegan dan fitur pemantauan kesehatan yang canggih. Dilengkapi dengan sensor detak jantung, pemantauan tidur, GPS, dan tahan air.",Samsung,Smartwatch,Galaxy Watch 4,https://images.samsung.com/id/galaxy-watch4/feature/galaxy-watch4-green-design-your-own-mo.jpg,Rp. 4.999.000 - Rp. 5.999.000,"Agustus 11, 2021",,,https://youtu.be/hC8JzqGbdwc,https://youtu.be/ADHNJWevjJU,https://youtu.be/hmS1a03WtWU,https://www.tiktok.com/@agungnazarpras/video/7018953728124259610?is_from_webapp=1&sender_device=pc&web_id=7188372511679038978,https://www.tiktok.com/@hyundai.nadila/video/7100780090996329754?is_from_webapp=1&sender_device=pc&web_id=7188372511679038978,https://www.tiktok.com/@f1abb9/video/7014798967082913026?is_from_webapp=1&sender_device=pc&web_id=7188372511679038978
Sony PlayStation 5,Konsol game generasi terbaru dengan performa tinggi. Pengalaman gaming yang lebih realistis dengan grafis 4K dan ray tracing. Dukungan untuk game terbaru dan virtual reality.,Sony,Gaming Console,PlayStation 5,https://static.promediateknologi.id/crop/0x0:0x0/0x0/webp/photo/jawapos/2020/09/ps5.jpeg,Rp. 9.999.000 - Rp. 11.999.000,November 2020,,,https://youtu.be/RceFViYOjdU,https://youtu.be/rurEl29aznk,https://youtu.be/2pIg4Zdg528,https://www.tiktok.com/@outoftheboxyt/video/7151399502014975275?is_from_webapp=1&sender_device=pc&web_id=7188372511679038978,https://www.tiktok.com/@gtid.tech/video/7231134674410622210?is_from_webapp=1&sender_device=pc&web_id=7188372511679038978,https://www.tiktok.com/@chip_de/video/6892462762451012866?is_from_webapp=1&sender_device=pc&web_id=7188372511679038978
GoPro Hero 9 Black,"Kamera aksi dengan kualitas video 5K dan fitur stabilisasi gambar HyperSmooth 3.0. Dilengkapi dengan layar sentuh, kontrol suara, dan tahan air.",GoPro,Action Camera,Hero 9 Black,https://1.bp.blogspot.com/-i6dPFCzem-E/X2TKoYvZpSI/AAAAAAAAB0w/X6wSHTZAgGsGZ8uvbyVbU1TMc4vrNozzACLcBGAsYHQ/s1800/GoPro%2B9%2BHero.jpg,Rp. 6.999.000 - Rp. 7.499.000,September 2020,,,https://youtu.be/gNMYJY6MgXg,https://youtu.be/7nPI08pnFyY,https://youtu.be/0_PZa79-ydo,https://www.tiktok.com/@urbanrepublicid/video/6923091558640176385?is_from_webapp=1&sender_device=pc&web_id=7188372511679038978,https://www.tiktok.com/@dancameraa/video/7222204389023386886?is_from_webapp=1&sender_device=pc&web_id=7188372511679038978,https://www.tiktok.com/@dadank_ar/video/7060178231571254554?is_from_webapp=1&sender_device=pc&web_id=7188372511679038978
LG C1 OLED TV,"TV OLED dengan kualitas gambar yang luar biasa dan kontras yang tinggi. Dilengkapi dengan Dolby Vision, HDR10, dan fitur AI ThinQ untuk pengalaman menonton yang immersive.",LG,TV,C1 OLED TV,https://www.lg.com/id/images/tv/md07523840/gallery/dm-1.jpg,Rp. 19.999.000 - Rp. 29.999.000,"Maret 18, 2021",,,https://youtu.be/GMRJZNSvHS0,https://youtu.be/olNQX7sfnNE,https://youtu.be/HOlBbKwaTEI,https://www.tiktok.com/@insertrichie/video/7111584183150972162?is_from_webapp=1&sender_device=pc&web_id=7188372511679038978,https://www.tiktok.com/@dr.okypratamaa/video/6989825235029593371?is_from_webapp=1&sender_device=pc&web_id=7188372511679038978,https://www.tiktok.com/@gadgetsinnepal/video/7057446936290364673?is_from_webapp=1&sender_device=pc&web_id=7188372511679038978
Apple MacBook Pro 16,"Laptop dengan performa tinggi dan desain elegan. Dilengkapi dengan layar Retina berukuran 16 inci, prosesor Intel Core Generasi ke-11, dan baterai tahan lama.",Apple,Laptop,MacBook Pro 16,https://cdn.eraspace.com/media/catalog/product/m/a/macbook_pro_2021_16_inch_space_grey_1.jpg,Rp. 31.999.000 - Rp. 49.999.000,"November 13, 2019",,,https://youtu.be/-Sj6aDIHc4E,https://youtu.be/4py1obg4t_k,https://youtu.be/Y-Ko5OldDjU,https://www.tiktok.com/@bikiniisandbelliniis/video/7067342284508974382?is_from_webapp=1&sender_device=pc&web_id=7188372511679038978,https://www.tiktok.com/@overon.gaming/video/7189965759173463323?is_from_webapp=1&sender_device=pc&web_id=7188372511679038978,https://www.tiktok.com/@iupdates/video/7171606898553195818?is_from_webapp=1&sender_device=pc&web_id=7188372511679038978
